Appsec Category,Appsec Maturity Stage,Assessment Item,Project Assessed Score (To be filled by the project team),Comments,Description (What this question Actually Means),Examples / Evidence for teams to reference
1st Party Secure Coding,Foundational,"Secure coding standards are formally defined",Partially Implemented [1],"Draft standard circulated; ratification and enforcement are still in progress.","Whether the team has a documented, agreed secure-coding standard that engineers must follow.","Ratified secure-coding standard in the team handbook or wiki."
,,"Developers are trained on the OWASP Top 10",Consistently Implemented [2],"All engineers complete annual secure-coding training, tracked in the LMS.","Whether engineers receive regular training on the most common web vulnerabilities.","LMS completion report; training attendance records."
,Managed,"Semgrep SAST scans run in the CI/CD pipeline",Embedded & Measured [3],"We are still evaluating the tool right now and a full pipeline rollout is planned for next quarter.","Whether automated static analysis runs on every pull request and blocks merges on high-severity findings.","CI workflow files; Semgrep dashboard screenshots."
,,"Code undergoes peer security review before merge",Consistently Implemented [2],"Mandatory two-reviewer policy enforced via branch protection.","Whether a second engineer reviews changes with security in mind before code is merged.","Branch-protection settings; pull-request review history."
3rd Party Dependency Hardening,Foundational,"Snyk (or equivalent) SCA scans run in CI/CD",Partially Implemented [1],"Enabled on the two main repos; the long tail of services is not covered yet.","Whether third-party dependencies are automatically scanned for known vulnerabilities.","Snyk project list; CI logs showing the scan step."
,,"Dependencies are pinned to fixed versions",Consistently Implemented [2],"Lockfiles are committed for every service.","Whether dependency versions are locked to prevent unexpected or malicious updates.","Committed package-lock.json / poetry.lock files."
,Managed,"No known high or critical vulnerabilities in production dependencies",Partially Implemented [1],"A handful of high findings remain open, each with a remediation ticket.","Whether the currently deployed dependency set is free of known high or critical CVEs.","Snyk report filtered to high/critical; remediation tickets."
Cloud Deployment Security,Foundational,"Security architecture patterns are defined",Not Started [0],"No reference architectures exist yet; teams design infrastructure ad-hoc.","Whether approved, reusable security architecture patterns exist for teams to build against.","Architecture decision records; reference-architecture catalog."
,,"Infrastructure is deployed via IaC (Terraform / Bicep)",Embedded & Measured [3],"100% of cloud infrastructure is managed through Terraform with peer-reviewed PRs.","Whether all cloud infrastructure is provisioned through version-controlled code rather than the console.","Terraform repositories; plan/apply pipeline logs."
,Advanced,"IaC deployment gates block insecure infrastructure changes",Embedded & Measured [3],"Policy-as-code (OPA / Checkov) blocks non-compliant plans at the deployment gate.","Whether automated policy gates stop insecure infrastructure from being deployed.","OPA/Checkov policies; pipeline gate failure logs."
,,"Advanced security metrics are tracked on an executive dashboard",Consistently Implemented [2],"MTTR, scan coverage, and escaped-defect rate are reported to leadership monthly.","Whether mature, outcome-based security metrics are tracked and reviewed by leadership.","Executive dashboard screenshots; monthly metrics deck."
Credential & Secret Handling,Foundational,"No hardcoded credentials or secrets in source code",Consistently Implemented [2],"Secret-scanning gate is active and violations break the build.","Whether secrets are kept out of source control entirely.","Gitleaks/TruffleHog CI step; blocked-build examples."
,,"Secret scanning is enabled (Gitleaks / TruffleHog)",Embedded & Measured [3],"Org-wide push protection plus CI scanning, with alerts triaged within 24 hours.","Whether automated secret scanning runs on commits and pushes.","GitHub secret-scanning alerts; CI scan logs."
,Managed,"Secrets are stored in a managed vault (Azure Key Vault / HashiCorp)",Consistently Implemented [2],"Migration is still in progress; a few legacy jobs read secrets from environment files.","Whether application secrets are stored in and retrieved from a managed secrets vault.","Key Vault references; vault access policies."
,,"Credentials are rotated on a regular schedule",Partially Implemented [1],"Automated rotation for databases; still manual elsewhere.","Whether credentials and keys are rotated automatically on a defined cadence.","Rotation runbooks; Key Vault rotation policy."
Container Image Standardization,Foundational,"Base images are sourced from an approved internal registry",Consistently Implemented [2],"All Dockerfiles pull from the golden-image registry.","Whether containers start from hardened, approved base images.","Dockerfile FROM lines; registry policy."
,,"Container images are scanned for vulnerabilities (Trivy / Grype)",Partially Implemented [1],"Scanning runs on the main services; batch jobs are not yet wired in.","Whether built images are scanned for OS and library CVEs before deploy.","Trivy CI step; scan-result artifacts."
,Managed,"An SBOM is generated for each image during build",Not Started [0],"No SBOM tooling is in place today.","Whether a software bill of materials is produced for each image.","Syft / CycloneDX output attached to builds."
,,"Mobile application shielding / RASP is enabled",Not Applicable,"This project ships only backend services; there is no mobile client.","Whether runtime protection is enabled for mobile clients.","N/A - no mobile application in scope."
